id,title,year,production_company,category,type,phase,poster
276,Captain America: The Winter Soldier,2014,Marvel,Movie,Live Action,2,https://m.media-amazon.com/images/M/MV5BMzA2NDkwODAwM15BMl5BanBnXkFtZTgwODk5MTgzMTE@._V1_FMjpg_UX1000_.jpg
277,Guardians of the Galaxy,2014,Marvel,Movie,Live Action,2,https://m.media-amazon.com/images/M/MV5BMTAwMjU5OTgxNjZeQTJeQWpwZ15BbWU4MDUxNDYxODEx._V1_.jpg
278,Avengers: Age of Ultron,2015,Marvel,Movie,Live Action,2,https://m.media-amazon.com/images/M/MV5BMTM4OGJmNWMtOTM4Ni00NTE3LTg3MDItZmQxYjc4N2JhNmUxXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_FMjpg_UX1000_.jpg
279,Ant-Man,2015,Marvel,Movie,Live Action,2,https://m.media-amazon.com/images/M/MV5BMjM2NTQ5Mzc2M15BMl5BanBnXkFtZTgwNTcxMDI2NTE@._V1_FMjpg_UX1000_.jpg
280,Captain America: Civil War,2016,Marvel,Movie,Live Action,3,https://m.media-amazon.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_.jpg
281,Doctor Strange,2016,Marvel,Movie,Live Action,3,https://m.media-amazon.com/images/M/MV5BZDg5ZDg2MWQtM2ExNi00ZjEzLTgzMDQtZmJlYWEwYmM4ODUxXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_FMjpg_UX1000_.jpg
282,Guardians of the Galaxy Vol. 2,2017,Marvel,Movie,Live Action,3,https://lumiere-a.akamaihd.net/v1/images/p_guardiansofthegalaxyvol2_19888_6cc63663.jpeg
283,Spider-Man: Homecoming,2017,Marvel,Movie,Live Action,3,https://upload.wikimedia.org/wikipedia/en/f/f9/Spider-Man_Homecoming_poster.jpg
284,Thor: Ragnorok,2017,Marvel,Movie,Live Action,3,https://m.media-amazon.com/images/M/MV5BMjMyNDkzMzI1OF5BMl5BanBnXkFtZTgwODcxODg5MjI@._V1_.jpg
285,Black Panther,2018,Marvel,Movie,Live Action,3,https://m.media-amazon.com/images/M/MV5BMTg1MTY2MjYzNV5BMl5BanBnXkFtZTgwMTc4NTMwNDI@._V1_.jpg
286,Avengers: Infinity War,2018,Marvel,Movie,Live Action,3,https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_.jpg
287,Ant-Man and the Wasp,2018,Marvel,Movie,Live Action,3,https://m.media-amazon.com/images/M/MV5BYjcyYTk0N2YtMzc4ZC00Y2E0LWFkNDgtNjE1MzZmMGE1YjY1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg
288,Captain Marvel,2019,Marvel,Movie,Live Action,3,https://m.media-amazon.com/images/M/MV5BMTE0YWFmOTMtYTU2ZS00ZTIxLWE3OTEtYTNiYzBkZjViZThiXkEyXkFqcGdeQXVyODMzMzQ4OTI@._V1_FMjpg_UX1000_.jpg
289,Avengers: Endgame,2019,Marvel,Movie,Live Action,3,https://lumiere-a.akamaihd.net/v1/images/p_avengersendgame_19751_e14a0104.jpeg?region=0%2C0%2C540%2C810
290,Spider-Man: Far From Home,2019,Marvel,Movie,Live Action,3,https://www.pinkvilla.com/imageresize/spider-man-far-from-home-review-main-image.jpg?width=752&format=webp&t=pvorg
291,Black Widow,2021,Marvel,Movie,Live Action,4,https://terrigen-cdn-dev.marvel.com/content/prod/1x/042_bluebayou_digital_keyart_teaser_r16_lg.jpg
292,Shang-Chi and the Legend of the Ten Rings,2021,Marvel,Movie,Live Action,4,https://boyertownstatetheatre.com/wp-content/uploads/2021/08/shang-chi.jpg
293,Eternals,2021,Marvel,Movie,Live Action,4,https://m.media-amazon.com/images/M/MV5BMTExZmVjY2ItYTAzYi00MDdlLWFlOWItNTJhMDRjMzQ5ZGY0XkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_FMjpg_UX1000_.jpg
294,Spider-Man No Way Home,2021,Marvel,Movie,Live Action,4,https://terrigen-cdn-dev.marvel.com/content/prod/1x/spider-mannowayhome_lob_crd_03.jpg
